Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md
Colombia,44,Total area of the country,4100,1982,114175,E,
Colombia,44,Total area of the country,4100,1987,114175,E,
Colombia,44,Total area of the country,4100,1992,114175,E,
Colombia,44,Total area of the country,4100,1997,114175,E,
Colombia,44,Total area of the country,4100,2002,114175,E,
Colombia,44,Total area of the country,4100,2007,114175,E,
Colombia,44,Total area of the country,4100,2012,114175,E,
Colombia,44,Total area of the country,4100,2016,114175,E,
Colombia,44,Arable land area,4101,1982,3743,E,
Colombia,44,Arable land area,4101,1987,3824,E,
Colombia,44,Arable land area,4101,1992,3070,E,
Colombia,44,Arable land area,4101,1997,2539,E,
Colombia,44,Arable land area,4101,2002,2211,E,
Colombia,44,Arable land area,4101,2007,1998,E,
Colombia,44,Arable land area,4101,2012,1578,E,
Colombia,44,Arable land area,4101,2016,1689,E,
Colombia,44,Permanent crops area,4102,1982,1480,E,
Colombia,44,Permanent crops area,4102,1987,1494,E,
Colombia,44,Permanent crops area,4102,1992,1830,E,
Colombia,44,Permanent crops area,4102,1997,1718,E,
Colombia,44,Permanent crops area,4102,2002,1525,E,
Colombia,44,Permanent crops area,4102,2007,1572,E,
Colombia,44,Permanent crops area,4102,2012,1875,E,
Colombia,44,Permanent crops area,4102,2016,1906,E,
Colombia,44,Cultivated area (arable land + permanent crops),4103,1982,5223,E,
Colombia,44,Cultivated area (arable land + permanent crops),4103,1987,5318,E,
Colombia,44,Cultivated area (arable land + permanent crops),4103,1992,4900,E,
Colombia,44,Cultivated area (arable land + permanent crops),4103,1997,4257,E,
Colombia,44,Cultivated area (arable land + permanent crops),4103,2002,3736,E,
Colombia,44,Cultivated area (arable land + permanent crops),4103,2007,3570,E,
Colombia,44,Cultivated area (arable land + permanent crops),4103,2012,3453,E,
Colombia,44,Cultivated area (arable land + permanent crops),4103,2016,3595,E,
Colombia,44,% of total country area cultivated,4470,1982,4.575,E,
Colombia,44,% of total country area cultivated,4470,1987,4.658,E,
Colombia,44,% of total country area cultivated,4470,1992,4.292,E,
Colombia,44,% of total country area cultivated,4470,1997,3.728,E,
Colombia,44,% of total country area cultivated,4470,2002,3.272,E,
Colombia,44,% of total country area cultivated,4470,2007,3.127,E,
Colombia,44,% of total country area cultivated,4470,2012,3.024,E,
Colombia,44,% of total country area cultivated,4470,2016,3.149,E,
Colombia,44,Total population,4104,1982,29027,E,
Colombia,44,Total population,4104,1987,32324,E,
Colombia,44,Total population,4104,1992,35559,E,
Colombia,44,Total population,4104,1997,38645,E,
Colombia,44,Total population,4104,2002,41572,E,
Colombia,44,Total population,4104,2007,44375,E,
Colombia,44,Total population,4104,2012,46881,E,
Colombia,44,Total population,4104,2015,48229,E,
Colombia,44,Rural population,4105,1982,11131,E,
Colombia,44,Rural population,4105,1987,11408,E,
Colombia,44,Rural population,4105,1992,11572,E,
Colombia,44,Rural population,4105,1997,11680,E,
Colombia,44,Rural population,4105,2002,11615,E,
Colombia,44,Rural population,4105,2007,11371,E,
Colombia,44,Rural population,4105,2012,10815,E,
Colombia,44,Rural population,4105,2015,10371,E,
Colombia,44,Urban population,4106,1982,17896,E,
Colombia,44,Urban population,4106,1987,20916,E,
Colombia,44,Urban population,4106,1992,23987,E,
Colombia,44,Urban population,4106,1997,26965,E,
Colombia,44,Urban population,4106,2002,29957,E,
Colombia,44,Urban population,4106,2007,33004,E,
Colombia,44,Urban population,4106,2012,36066,E,
Colombia,44,Urban population,4106,2015,37858,E,
Colombia,44,Population density,4107,1982,25.42,E,
Colombia,44,Population density,4107,1987,28.31,E,
Colombia,44,Population density,4107,1992,31.14,E,
Colombia,44,Population density,4107,1997,33.85,E,
Colombia,44,Population density,4107,2002,36.41,E,
Colombia,44,Population density,4107,2007,38.87,E,
Colombia,44,Population density,4107,2012,41.06,E,
Colombia,44,Population density,4107,2016,42.24,E,
Colombia,44,Gross Domestic Product (GDP),4112,1982,3.90E+10,E,
Colombia,44,Gross Domestic Product (GDP),4112,1987,3.64E+10,E,
Colombia,44,Gross Domestic Product (GDP),4112,1992,4.93E+10,E,
Colombia,44,Gross Domestic Product (GDP),4112,1997,1.07E+11,E,
Colombia,44,Gross Domestic Product (GDP),4112,2002,9.79E+10,E,
Colombia,44,Gross Domestic Product (GDP),4112,2007,2.07E+11,E,
